Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
New ,556MODACYT20,749355071746,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington/.300 AAC Blackout Mod-A Coyote Brown 20-Round Straight Magazine, $ 20.99 , $ 17.99 ,"2.75"" x 1.13"" x 5.88""",0.26 lbs,"4.75"" x 1.13"" x 9""",0.27 lbs,N/A,N/A,"15"" x 13"" x 10""",15 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington/300 AAC Blackout,Coyote Brown,20-Rounds
New ,556MODACYT30,749355071753,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-A Coyote Brown 30-Round Magazine, $ 14.99 , $ 11.99 ,"2.75"" x 1.13"" x 7.5""",0.32 lbs,"5"" x 1.13"" x 10.75""",0.33 lbs,N/A,N/A,"15"" x 13"" x 10""",18 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
,6mm ARC/22 ARC/338 ARC/6.5 Grendel Magazines,,,,,,,,,,,,,,,,,,
Pre-Order Only ,6AMODABLK15,749355071760,Amend2® AR-15/M4/M16 6mm ARC/22 ARC/338 ARC/6.5 Grendel Mod-A Black 15-Round Straight Magazine, $ 20.99 , $ 17.99 ,"2.75"" x 1.13"" x 5.88""",0.26 lbs,"4.75"" x 1.13"" x 9""",0.27 lbs,N/A,N/A,"15"" x 13"" x 10""",15 lbs,50,"2,700",USA,6mm ARC/22 ARC/6.5 Grendel,Black,15-Rounds
,,,,,,,,,,,,,,,,,,,
Pre-Order Only ,6AMODACYT15,749355071777,Amend2® AR-15/M4/M16 6mm ARC/22 ARC/338 ARC/6.5 Grendel Mod-A Coyote Brown 15-Round Straight Magazine, $ 20.99 , $ 17.99 ,"2.75"" x 1.13"" x 5.88""",0.26 lbs,"4.75"" x 1.13"" x 9""",0.27 lbs,N/A,N/A,"15"" x 13"" x 10""",15 lbs,50,"2,700",USA,6mm ARC/22 ARC/6.5 Grendel,Coyote Brown,15-Rounds
,Mod-C Magazines,,,,,,,,,,,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,,,,,,,,,,,
,556MODCBAN30,850057645293,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow Custom UV-Printed Banana 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Yellow,30-Rounds
,556MODCDTOM30,850057645316,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow Custom UV-Printed ""Don't Tread On Me"" 30-Round Magazine", $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Yellow,30-Rounds
Pre-Order Only ,556MODCGGST30,749355072309,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Glow-In-The-Dark Custom UV-Printed Tactical Ghost 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
Pre-Order Only ,556MODCOACN30,749355072316,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Olive Drab Green Custom UV-Printed Ammo Can 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
Pre-Order Only ,556MODCSGFT30,749355072323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke Custom UV-Printed Flying Tiger 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
Pre-Order Only ,556MODCSMOM30,749355072330,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke Custom UV-Printed Man On The Moon 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
,556MODCSPR30,799947620210,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MODCGLOW30,850057645422,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Glow-In-The-Dark 30-Round Magazine, $ 22.99 , $ 19.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Clear,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MODCODG30,850057645613,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Olive Drab Green 30-Round Magazine, $ 19.99 , $ 16.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Olive Drab Green,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MODCPNK30,799947620067,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Pink 30-Round Magazine, $ 19.99 , $ 16.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Pink,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MODCS1030,799947619900,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 10/30 10-Round Magazine - Restricted State Compliant, $ 22.49 , $ 19.49 ,"2.75"" x 1.13"" x 7.5""",0.30 lbs,"5"" x 1.13"" x 10.75""",0.31 lbs,N/A,N/A,"15"" x 13"" x 10""",17 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Smoke,10-Rounds
,556MODCSMK30,799947619832,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 30-Round Magazine, $ 19.99 , $ 16.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Smoke,30-Rounds
New ,A2MAGDRUMMODC,749355071845,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MODCSMK30 Magazines," See ""556MODCSMK30"" "," See ""556MODCSMK30"" ",N/A,N/A,N/A,N/A,N/A,N/A,"18.75"" x 18.75"" x 29.88""",77 lbs,1,5,USA,5.56x45mm NATO/.223 Remington,Translucent Smoke,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MODCYLW30,850057645415,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow 30-Round Magazine, $ 19.99 , $ 16.99 ,"2.75"" x 1.13"" x 7.5""",0.28 lbs,"5"" x 1.13"" x 10.75""",0.29 lbs,N/A,N/A,"15"" x 13"" x 10""",16 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Translucent Yellow,30-Rounds
,Bolt-Action Rifle Magazines,,,,,,,,,,,,,,,,,,
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,Long-Action CIP-473 - .30-06 Springfield/.270 Winchester/7mm Backcountry,,,,,,,,,,,,,,,,,,
New ,CIP4733RD,850057645996,Amend2® Bolt-Action Long-Action CIP-473 .30-06 Springfield/.270 Winchester/7mm Backcountry Mod-3 Black 3-Round Magazine, $ 39.99 , $ 36.99 ,"4"" x 0.75"" x 2.63""",0.13 lbs,"4.75"" x 1.5"" x 9""",0.14 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 13 lbs ,50,"2,700",USA, .30-06 Springfield/.270 Winchester/7mm Backcountry ,Black, 3-Rounds 
,Long-Action CIP-532 - .300 Winchester Magnum/7mm PRC/300 PRC,,,,,,,,,,,,,,,,,,
New ,CIP5323RD,850057645712,Amend2® Bolt-Action Long-Action CIP-532 .300 Winchester Magnum/7mm PRC/300 PRC Mod-3 Black 3-Round Magazine, $ 39.99 , $ 36.99 ,"4"" x 0.75"" x 2.63""",0.13 lbs,"4.75"" x 1.5"" x 9""",0.14 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 13 lbs ,50,"2,700",USA, .300 Winchester Magnum/7mm PRC/.300 PRC ,Black, 3-Rounds 
,Long-Action CIP-588 - .338 Lapua Magnum,,,,,,,,,,,,,,,,,,
New ,CIP5883RD,749355071937,Amend2® Bolt-Action Long-Action CIP-588 .338 Lapua Magnum Mod-3 Black 3-Round Magazine, $ 39.99 , $ 36.99 ,"4"" x 0.75"" x 2.63""",0.13 lbs,"4.75"" x 1.5"" x 9""",0.14 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 13 lbs ,50,"2,700",USA, .338 Lapua Magnum ,Black, 3-Rounds 
,Short-Action AICS - 7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,,,,,,,,,,,
,SAAICSBLK5,685757245777,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 5-Round Magazine, $ 32.99 , $ 29.99 ,"3.19"" x 1.13"" x 3.31""",0.22 lbs,"4.75"" x 1.5"" x 9""",0.23  lbs,N/A,N/A," 15"" x 13"" x 10"" ", 13 lbs ,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Black, 5-Rounds 
,SAAICSBLK12,685757245784,Amend2® Bolt-Action Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 12-Round Magazine, $ 32.99 , $ 29.99 ,"3.19"" x 1.13"" x 5.38""",0.36 lbs,"4.75"" x 1.5"" x 9""",0.37 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 20 lbs ,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Black, 12-Rounds 
,Short-Action Magnum AICS - 6.5 PRC Magazines,,,,,,,,,,,,,,,,,,
,SAAICS65BLK3,799947620104,Amend2® Bolt-Action Short-Action Magnum AICS 6.5 PRC Mod-3 Black 3-Round Magazine, $ 32.99 , $ 29.99 ,"3.09"" x 1.13"" x 3.25""",0.20 lbs,"4.75"" x 1.5"" x 9""",0.21 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 12 lbs ,50,"2,700",USA, 6.5 PRC ,Black, 3-Rounds 
,FN® SCAR® 17/17S/20/20S-Compatible Magazines,,,,,,,,,,,,,,,,,,
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,,,,,,,,,,,
,SCARMOD3BLK20,799947619894,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Black 20-Round Magazine, $ 32.99 , $ 29.99 ,"3"" x 1.25"" x 6.13""",0.28 lbs,"5"" x 1.25"" x 10.75""",0.29 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 18 lbs ,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Black, 20-Rounds 
,,,,,,,,,,,,,,,,,,,
,SCARMOD3FDE20,850057645910,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Flat Dark Earth 20-Round Magazine, $ 32.99 , $ 29.99 ,"3"" x 1.25"" x 6.13""",0.28 lbs,"5"" x 1.25"" x 10.75""",0.29 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 18 lbs ,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Flat Dark Earth, 20-Rounds 
,Pistol Magazines,,,,,,,,,,,,,,,,,,
,Mod-2 Magazines,,,,,,,,,,,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,,,,,,,,,,,
Discontinued ,A2G1910RDBLK,680270811058,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-2 Black 19/10 10-Round Magazine - Restricted State Compliant,,,"2.06"" x 1.131"" x 4.69""",0.11 lbs,"4"" x 1.13"" x 8.25""",0.12 lbs, N/A , N/A ,"15"" x 13"" x 10""",14 lbs,100,"5,400",USA, 9mm Luger ,Black, 10-Rounds 
Discontinued ,A2GLOCK19BLK,686751104084,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-2 Black 15-Round Magazine,,,"2.06"" x 1.131"" x 4.69""",0.11 lbs,"4"" x 1.13"" x 8.25""",0.12 lbs, N/A , N/A ,"15"" x 13"" x 10""",14 lbs,100,"5,400",USA, 9mm Luger ,Black, 15-Rounds 
Phase Out ,A2GLOCK23BLK,686751104107,Amend2® A2-23 GLOCK® G23-Compatible .40 S&W Mod-2 Black 13-Round Magazine, $ 16.99 , N/A ,"2.06"" x 1.131"" x 4.69""",0.11 lbs,"4"" x 1.13"" x 8.25""",0.12 lbs, N/A , N/A ,"15"" x 13"" x 10""",14 lbs,100,"5,400",USA, .40 S&W ,Black, 13-Rounds 
Phase Out ,A2GLOCK42BLK,686751104114,Amend2® A2-42 GLOCK® G42-Compatible .380 ACP Mod-2 Black 6-Round Magazine, $ 16.99 , N/A ,"1.44"" x 0.88"" x 3.56""",0.06 lbs,"4"" x 1.13"" x 8.25""",0.07 lbs, N/A , N/A ,"15"" x 13"" x 10""",9 lbs,100,"5,400",USA,.380 ACP,Black, 6-Rounds 
,SIG SAUER®-Compatible Pistol Magazines,,,,,,,,,,,,,,,,,,
Phase Out ,A2A320FULLBLK,685757245746,Amend2® A2-320F SIG SAUER® P320®-Compatible 9mm Luger Mod-2 Black 17-Round Magazine, $ 16.99 , N/A ,"1.75"" x 1.25"" x 5""",0.11 lbs,"4"" x 1.13"" x 8.25""",0.12 lbs,N/A,N/A," 15"" x 13"" x 10"" ", 13 lbs ,100,"5,400",USA, 9mm Luger ,Black, 17-Rounds 
Phase Out ,A2A320STICKBLK,685757245760,Amend2® A2-320S SIG SAUER® P320®-Compatible 9mm Luger Mod-2 Black 32-Round Stick Magazine, $ 20.99 , N/A ,"1.75"" x 1.25"" x 8.5""",0.18 lbs,"4"" x  1.38"" x 11.25""",0.19 lbs,N/A,N/A," 23"" x 13"" x 13"" ", 31 lbs ,150,"4,500",USA, 9mm Luger ,Black, 32-Rounds 
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,,,,,,,,,,,
,G17MOD3BLK17,799947620074,Amend2® A2-17 GLOCK® G17-Compatible 9mm Luger Mod-3 Black 17-Round Magazine, $ 17.99 , $ 14.99 ,"1.5"" x 1.06"" x 5.25""",0.09 lbs,"4"" x 1.13"" x 8.25""",0.10 lbs, N/A , N/A ,"15"" x 13"" x 10""",12 lbs,100,"5,400",USA, 9mm Luger ,Black, 17-Rounds 
,G19MOD3BLK15,799947620081,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-3 Black 15-Round Magazine, $ 17.99 , $ 14.99 ,"1.5"" x 1.06"" x 4.63""",0.08 lbs,"4"" x 1.13"" x 8.25""",0.09 lbs, N/A , N/A ,"15"" x 13"" x 10""",11 lbs,100,"5,400",USA, 9mm Luger ,Black, 15-Rounds 
,Mod-C Magazines,,,,,,,,,,,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,,,,,,,,,,,
New ,GLKMODCBLK34,850057645965,Amend2® A2-Stick GLOCK®-Compatible Double Stack 9mm Luger Mod-C Black 34-Round Stick Magazine, $ 22.99 , $ 19.99 ,"1.5"" x 1.31"" x 8.75""",0.14 lbs,"4"" x  1.38"" x 11.25""",0.15 lbs, N/A , N/A ,"23"" x 13"" x 13""",18 lbs,100,"3,000",USA,9mm Luger,Black,34-Rounds
,,,,,,,,,,,,,,,,,,,
New ,GLKMODCSMK34,850057645842,Amend2® A2-Stick GLOCK®-Compatible Double Stack 9mm Luger Mod-C Translucent Smoke 34-Round Stick Magazine, $ 22.99 , $ 19.99 ,"1.5"" x 1.31"" x 8.75""",0.14 lbs,"4"" x  1.38"" x 11.25""",0.15 lbs, N/A , N/A ,"23"" x 13"" x 13""",18 lbs,100,"3,000",USA,9mm Luger,Translucent Smoke,34-Rounds
,Ruger® 10/22®-Compatible Magazines,,,,,,,,,,,,,,,,,,
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,.22 LR Magazines,,,,,,,,,,,,,,,,,,
Pre-Order Only ,1022MOD3BLK10,749355071630,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 10-Round Rotary Magazine, $ 20.99 , $ 17.99 ,TBD,TBD,TBD,TBD, N/A , N/A ,TBD,TBD,TBD,TBD,USA,.22 Long Rifle (.22 LR),Black,10-Rounds
Pre-Order Only ,1022MOD3BLK15,749355071647,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 15-Round Magazine, $ 30.99 , $ 27.99 ,TBD,TBD,TBD,TBD, N/A , N/A ,TBD,TBD,TBD,TBD,USA,.22 Long Rifle (.22 LR),Black,15-Rounds
Pre-Order Only ,1022MOD3BLK25,749355071654,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 25-Round Magazine, $ 32.99 , $ 29.99 ,TBD,TBD,TBD,TBD, N/A , N/A ,TBD,TBD,TBD,TBD,USA,.22 Long Rifle (.22 LR),Black,25-Rounds
,SR-25/M110/AR-10 Magazines,,,,,,,,,,,,,,,,,,
,Mod-2 Magazines,,,,,,,,,,,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,,,,,,,,,,,
Discontinued ,762MOD2FDE10,680286998262,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Flat Dark Earth 10-Round Magazine,,,"3.38"" x 1.38"" x 4.38""",0.25 lbs,"5"" x 1.5"" x 9""",0.26 lbs, N/A , N/A ," 15"" x 13"" x 10"" ",15 lbs,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Flat Dark Earth,10-Rounds
Phase Out ,762MOD2FDE20,680286998309,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Flat Dark Earth 20-Round Magazine, $ 19.99 , N/A ,"3.38"" x 1.38"" x 6.75""",0.35 lbs,"5"" x 1.5"" x 10.75""",0.36 lbs, N/A , N/A ," 15"" x 13"" x 10"" ",20 lbs,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Flat Dark Earth, 20-Rounds 
,,,,,,,,,,,,,,,,,,,
Discontinued ,762MOD2GRY10,680286998286,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Gray 10-Round Magazine,,,"3.38"" x 1.38"" x 4.38""",0.25 lbs,"5"" x 1.5"" x 9""",0.26 lbs, N/A , N/A ," 15"" x 13"" x 10"" ",15 lbs,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Gray,10-Rounds
,,,,,,,,,,,,,,,,,,,
Phase Out ,762MOD2ODG20,680286998316,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Olive Drab Green 20-Round Magazine, $ 19.99 , N/A ,"3.38"" x 1.38"" x 6.75""",0.35 lbs,"5"" x 1.5"" x 10.75""",0.36 lbs, N/A , N/A ," 15"" x 13"" x 10"" ",20 lbs,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Olive Drab Green, 20-Rounds 
,Mod-A Magazines,,,,,,,,,,,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,,,,,,,,,,,
Pre-Order Only ,762MODABLK10,749355071784,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Black 10-Round Magazine, $ 21.99 , $ 18.99 ,TBD,TBD,TBD,TBD, N/A , N/A ," 15"" x 13"" x 10"" ",TBD,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Black,10-Rounds
Pre-Order Only ,762MODABLK20,749355071791,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Black 20-Round Magazine, $ 21.99 , $ 18.99 ,TBD,TBD,TBD,TBD, N/A , N/A ," 15"" x 13"" x 10"" ",TBD,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Black, 20-Rounds 
,,,,,,,,,,,,,,,,,,,
Pre-Order Only ,762MODACYT10,749355071807,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Coyote Brown 10-Round Magazine, $ 21.99 , $ 18.99 ,TBD,TBD,TBD,TBD, N/A , N/A ," 15"" x 13"" x 10"" ",TBD,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Coyote Brown,10-Rounds
Pre-Order Only ,762MODACYT20,749355071814,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Coyote Brown 20-Round Magazine, $ 21.99 , $ 18.99 ,TBD,TBD,TBD,TBD, N/A , N/A ," 15"" x 13"" x 10"" ",TBD,50,"2,700",USA, 7.62x51mm NATO/.308 Winchester ,Coyote Brown, 20-Rounds 
,Forend/Handguard Accessories,,,,,,,,,,,,,,,,,,
,ARCA® Adapters,,,,,,,,,,,,,,,,,,
,M-LOK® to ARCA® Adapters,,,,,,,,,,,,,,,,,,
New ,ARCA3BLK,749355071944,"Amend2® M-LOK® to ARCA® Adapter - 3"" Black", $ 34.99 , $ 31.99 ,"3"" x 1.5"" x 0.25""",0.10 lbs,"5"" x 0.45"" x 6.15""",0.12 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Black,N/A
New ,ARCA6BLK,749355071951,"Amend2® M-LOK® to ARCA® Adapter - 6"" Black", $ 42.99 , $ 39.99 ,"6"" x 1.5"" x 0.25""",0.18 lbs,"5"" x 0.45"" x 11.5""",0.21 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Black,N/A
Pre-Order Only ,ARCA12BLK,749355071968,"Amend2® M-LOK® to ARCA® Adapter - 12"" Black", $ 58.99 , $ 55.99 ,"12"" x 1.5"" x 0.25""",0.36 lbs,TBD,0.39 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Black,N/A
,,,,,,,,,,,,,,,,,,,
New ,ARCA3FDE,749355071975,"Amend2® M-LOK® to ARCA® Adapter - 3"" Flat Dark Earth", $ 34.99 , $ 31.99 ,"3"" x 1.5"" x 0.25""",0.10 lbs,"5"" x 0.45"" x 6.15""",0.12 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Flat Dark Earth,N/A
New ,ARCA6FDE,749355071982,"Amend2® M-LOK® to ARCA® Adapter - 6"" Flat Dark Earth", $ 42.99 , $ 39.99 ,"6"" x 1.5"" x 0.25""",0.18 lbs,"5"" x 0.45"" x 11.5""",0.21 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Flat Dark Earth,N/A
Pre-Order Only ,ARCA12FDE,749355071999,"Amend2® M-LOK® to ARCA® Adapter - 12"" Flat Dark Earth", $ 58.99 , $ 55.99 ,"12"" x 1.5"" x 0.25""",0.36 lbs,TBD,0.39 lbs,N/A,N/A,TBD,TBD,TBD,TBD,USA,N/A,Flat Dark Earth,N/A
,Foregrips,,,,,,,,,,,,,,,,,,
,Angled Foregrips / Handstops,,,,,,,,,,,,,,,,,,
New ,AGKBLK,749355071531,Amend2®/RAZR® Mohave-K™ M-LOK® Handstop Black Model, $ 19.99 , $ 17.99 ,"1"" x 1.5"" x 2""",0.06 lbs,"5"" x 1.5"" x 7.63""",0.08 lbs,N/A,N/A," 15"" x 13"" x 10"" ",TBD,TBD,TBD,USA,N/A,Black,N/A
,Vertical Foregrips,,,,,,,,,,,,,,,,,,
,A2VFGBLK,749355071500,Amend2® M-LOK® Vertical Foregrip Black Model, $ 19.99 , $ 17.99 ,"1.75"" x 1.25"" x 3.56""",0.16 lbs,"3"" x 1.75"" x 6.5""",0.19 lbs,N/A,N/A,"23"" x 13"" x 13""",22 lbs,100,"3,000",USA,N/A,Black,N/A
,,,,,,,,,,,,,,,,,,,
New ,A2VFGCYT,749355071517,Amend2® M-LOK® Vertical Foregrip Coyote Brown Model, $ 19.99 , $ 17.99 ,"1.75"" x 1.25"" x 3.56""",0.16 lbs,"5"" x 1.25"" x 7.63""",0.19 lbs,N/A,N/A,"23"" x 13"" x 13""",22 lbs,100,"3,000",USA,N/A,Coyote Brown,N/A
,Grips,,,,,,,,,,,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10 Grips,,,,,,,,,,,,,,,,,,
,Pistol Grips,,,,,,,,,,,,,,,,,,
,A2PGEBLK,749355071555,Amend2® Pistol Grip - Enhanced Black Model (No Grip Screw Included), $ 19.99 , $ 17.99 ,"3"" x 1.06"" x 4.56""",0.20 lbs,"3"" x 1.75"" x 6.5""",0.23  lbs,N/A,N/A,"23"" x 13"" x 13""",26 lbs,100,"3,000",USA,N/A,Black,N/A
New ,A2PGECYT,749355071548,Amend2® Pistol Grip - Enhanced Coyote Brown Model (No Grip Screw Included), $ 19.99 , $ 17.99 ,"3"" x 1.06"" x 4.56""",0.20 lbs,"5"" x 1.06"" x 7.63""",0.23  lbs,N/A,N/A,"23"" x 13"" x 13""",26 lbs,100,"3,000",USA,N/A,Coyote Brown,N/A
,,,,,,,,,,,,,,,,,,,
