Version 2026.07.02,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item Status,Item Number,UPC,Item Description, 2026 MSRP , 2026 MAP ,"Unpackaged Item Dimensions
(L"" x W"" x H"")","Unpackaged Item Weight 
(pounds)","Packaged Item Dimensions
(L"" x W"" x H"")","Packaged Item Weight
(Pounds)","Inner Box Quantity
(Units)","Inner Box Dimensions
(L"" x W"" x H"")","Master Case Pack Dimensions
(L"" x W"" x H"")","Master Case Pack Weight
(Pounds)","Master Case Pack Quantity
(Units)","Pallet Quantity
(Units)",Country of Manufacture, Caliber(s) , Color , Capacity 
,Magazines,,,,,,,,,,,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,,,,,,,,,,,
Phase Out ,65GRENDBLK10,686751104237,Amend2® AR-15/M4/M16 6.5 Grendel/6mm ARC/22 ARC Mod-2 Black 10-Round Magazine, $ 16.99 , $ 13.99 ,"2.75"" x 1.13"" x 5.88""",0.23 lbs,"4.75"" x 1.13"" x 9""",0.24 lbs,N/A,N/A,"15"" x 13"" x 10""",14 lbs,50,"2,700",USA,6.5 Grendel/6mm ARC,Black,10-Rounds
,Mod-3 Magazines,,,,,,,,,,,,,,,,,,
,5.56x45mm NATO/.223 Remington Magazines,,,,,,,,,,,,,,,,,,
Pre-Order Only ,556MOD3BAC30,749355072354,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Alpine-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Pre-Order Only ,556MOD3BUC30,749355072361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Urban-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Pre-Order Only ,556MOD3CAC30,749355072378,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Arid-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
Pre-Order Only ,556MOD3CTC30,749355072385,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Tropical-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
Pre-Order Only ,556MOD3CVC30,749355072392,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Coyote Brown Custom UV-Printed Vari-Cam 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Coyote Brown,30-Rounds
,556MOD3DT130,850057645798,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Trump ""Fight!"" 2024 30-Round Magazine", $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,556MOD3FLAG30,850057645323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed American Flag 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Discontinued ,556MOD3MC30,850057645859,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® 30-Round Magazine,,,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Discontinued ,556MOD3MCA30,850057645866,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Alpine 30-Round Magazine,,,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Discontinued ,556MOD3MCB30,850057645873,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Black 30-Round Magazine,,,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
Discontinued ,556MOD3MCT30,850057645880,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Hydro-Dipped MultiCam® Tropic 30-Round Magazine,,,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,556MOD3NEON30,850057645361,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Neon Splatter 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,556MOD3SBWL30,850057645330,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black Custom UV-Printed Steamboat Willie 30-Round Magazine, $ 24.99 , $ 21.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,A2MAGDRUMCP,749355071852,"Amend2® 30-Gallon Magazine Display Drum Dump Bin with 50 units of 556BANANA30, 50 units of 556SPRINKLE30, 50 units of 556MOD3FLAG30 & 50 units of 556MODCNEON30 Custom-Printed Magazines", See Respective Individual Magazines , See Respective Individual Magazines ,N/A,N/A,N/A,N/A,N/A,N/A,"18.75"" x 18.75"" x 29.88""",82 lbs,1,5,USA,5.56x45mm NATO/.223 Remington,Various,30-Rounds
,,,,,,,,,,,,,,,,,,,
,556MOD3B1030,799947619917,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 10/30 10-Round Magazine - Restricted State Compliant, $ 18.49 , $ 15.49 ,"2.75"" x 1.13"" x 7.5""",0.36 lbs,"5"" x 1.13"" x 10.75""",0.37 lbs,N/A,N/A,"15"" x 13"" x 10""",20 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,10-Rounds
,556MOD3BLK30,799947619771,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-3 Black 30-Round Magazine, $ 15.99 , $ 12.99 ,"2.75"" x 1.13"" x 7.5""",0.34 lbs,"5"" x 1.13"" x 10.75""",0.35 lbs,N/A,N/A,"15"" x 13"" x 10""",19 lbs,50,"2,700",USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
New ,A2MAGDRUMMOD3,749355071838,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MOD3BLK30 Magazines," See ""556MOD3BLK30"" "," See ""556MOD3BLK30"" ",N/A,N/A,N/A,N/A,N/A,N/A,"18.75"" x 18.75"" x 29.88""",86 lbs,1,5,USA,5.56x45mm NATO/.223 Remington,Black,30-Rounds
,,,,,,,,,,,,,,,,,,,
