Item Number / SKU,File Name,Link
556MODAB1030,556MODAB1030 - AR-15 5.56 Mod-A Black 10:30 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/12cf6RTRxCy_fvopNln2YZ1DjhFGCCtjk/view?usp=drivesdk
556MODAB1520,556MODAB1520 - AR-15 5.56:.300 BO Mod-A Black 15:20 15rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1zNBxwDltYatTz9CMQKDUBb1NcJM24he_/view?usp=drivesdk
556MODAB25030,"556MODAB25030 - AR-15 5.56 Mod-A Black Custom UV-Printed ""250 Years Strong"" 30rd Magazine Sell Sheet.pdf",https://drive.google.com/file/d/1QLIM1vUDKYgVGriwJCuINO_Njo-C85aP/view?usp=drivesdk
556MODABBSW30,556MODABBSW30 - AR-15 5.56 Mod-A Black Custom UV-Printed Bulgarian Splinter Wetland Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1tlxO-dwjYgfTDYLEGDbDC7m3bSxeXlyU/view?usp=drivesdk
556MODABCOW30,"556MODABCOW30 - AR-15 5.56 Mod-A Black Custom UV-Printed Cow ""Got Ammo?"" 30rd Magazine Sell Sheet.pdf",https://drive.google.com/file/d/1jWcibL40QgFtw6USgm-jTclSsLP6SrrW/view?usp=drivesdk
556MODABDNC30,556MODABDNC30 - AR-15 5.56 Mod-A Black Custom UV-Printed Desert Night Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1fHvKbHzbw6UCh--KwmzRwg-CBIJZkp-s/view?usp=drivesdk
556MODABJZZ30,556MODABJZZ30 - AR-15 5.56 Mod-A Black Custom UV-Printed Jazz 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/11d1Xy5gq67HLI9e2l5zeAb0ZMj0fhslQ/view?usp=drivesdk
556MODABLK10,556MODABLK10 - AR-15 5.56 Mod-A Black 10rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1KO-SyRe5cD5Nbd9FFE2o8moHEURxxTqO/view?usp=drivesdk
556MODABLK20,556MODABLK20 - AR-15 5.56/.300 BO Mod-A Black 20rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1gUE6h5f-NSuC3kb75Eyeqrq6rYwzNaIs/view?usp=drivesdk
556MODABLK30,556MODABLK30 - AR-15 5.56 Mod-A Black 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1A9r8ktRIyXmYF9bQ5F61KU4G2NEwLlIu/view?usp=drivesdk
556MODABM8130,556MODABM8130 - AR-15 5.56 Mod-A Black Custom UV-Printed M81 Woodland Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1GpB96f_EdlhfdVPhvSQ6du3dthqpimmt/view?usp=drivesdk
556MODABOF30,556MODABOF30 - AR-15 5.56 Mod-A Black Custom UV-Printed Original Flecktarn Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1kuxo6cYZTXCk4pr2VpttOo941aWDsf0g/view?usp=drivesdk
556MODABOTS30,556MODABOTS30 - AR-15 5.56 Mod-A Black Custom UV-Printed Original Tiger Stripe Camo 30rd Magazine Sell Sheet.pdf,https://drive.google.com/file/d/1LtHC_BS6LRjG9jaJ7TG8U6hyGjC_LhDa/view?usp=drivesdk
