Version 2026.07.01,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item Status,Item Number,UPC,Item Description, Prop 65 Warning Required , Warning for Carcinogen , Identify Carcinogen , Warning for Reproductive Toxin , Identify Reporductive Toxin , Prop 65 Warning Text 
,Magazines,,,,,,,,
,AR-15/M4/M16 Magazines,,,,,,,,
,556MODCBAN30,850057645293,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow Custom UV-Printed Banana 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,556MODCDTOM30,850057645316,"Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow Custom UV-Printed ""Don't Tread On Me"" 30-Round Magazine",Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MODCGGST30,749355072309,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Glow-In-The-Dark Custom UV-Printed Tactical Ghost 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MODCOACN30,749355072316,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Olive Drab Green Custom UV-Printed Ammo Can 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MODCSGFT30,749355072323,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke Custom UV-Printed Flying Tiger 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,556MODCSMOM30,749355072330,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke Custom UV-Printed Man On The Moon 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,556MODCSPR30,799947620210,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Pink Custom UV-Printed Sprinkle Donut 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MODCGLOW30,850057645422,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Glow-In-The-Dark 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MODCODG30,850057645613,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Olive Drab Green 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MODCPNK30,799947620067,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Pink 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MODCS1030,799947619900,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 10/30 10-Round Magazine - Restricted State Compliant,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,556MODCSMK30,799947619832,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Smoke 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
New ,A2MAGDRUMMODC,749355071845,Amend2® 30-Gallon Magazine Display Drum Dump Bin with 200 units of 556MODCSMK30 Magazines,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,556MODCYLW30,850057645415,Amend2® AR-15/M4/M16 5.56x45mm NATO/.223 Remington Mod-C Translucent Yellow 30-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Bolt-Action Rifle Magazines,,,,,,,,
,Mod-3 Magazines,,,,,,,,
,Long-Action CIP-473 - .30-06 Springfield/.270 Winchester/7mm Backcountry,,,,,,,,
New ,CIP4733RD,850057645996,Amend2® Bolt-Action Long-Action CIP-473 .30-06 Springfield/.270 Winchester/7mm Backcountry Mod-3 Black 3-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",Yes,Methanol,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Long-Action CIP-532 - .300 Winchester Magnum/7mm PRC/300 PRC,,,,,,,,
New ,CIP5323RD,685757245777,Amend2® Bolt-Action Long-Action CIP-532 .300 Winchester Magnum/7mm PRC/300 PRC Mod-3 Black 3-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",Yes,Methanol,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Long-Action CIP-588 - .338 Lapua Magnum,,,,,,,,
New ,CIP5883RD,749355071937,Amend2® Bolt-Action Long-Action CIP-588 .338 Lapua Magnum Mod-3 Black 3-Round Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",Yes,Methanol,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Short-Action AICS (7.62x51mm NATO/.308 Winchester) Magazines,,,,,,,,
,SAAICSBLK5,685757245777,Amend2® Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 5-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,SAAICSBLK12,685757245784,Amend2® Short-Action AICS 7.62x51mm NATO/.308 Winchester Mod-3 Black 12-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Short-Action Magnum AICS Magazines,,,,,,,,
,SAAICS65BLK3,799947620104,Amend2® Short-Action Magnum AICS 6.5 PRC Mod-3 Black 3-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,FN® SCAR® 17/17S/20/20S-Compatible Magazines,,,,,,,,
,Mod-3 Magazines,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,
,SCARMOD3BLK20,799947619894,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Black 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
,SCARMOD3FDE20,850057645910,Amend2®/Kinetic Development Group KA2-20 FN® SCAR® 17/17S/20/20S-Compatible 7.62x51mm NATO/.308 Winchester Mod-3 Flat Dark Earth 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Pistol Magazines,,,,,,,,
,Mod-2 Magazines,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,
Discontinued ,A2G1910RDBLK,686751104084,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-2 Black 19/10 10-Round Magazine - Restricted State Compliant,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Discontinued ,A2GLOCK19BLK,680270811058,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-2 Black 15-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Phase Out ,A2GLOCK23BLK,686751104107,Amend2® A2-23 GLOCK® G23-Compatible .40 S&W Mod-2 Black 13-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Phase Out ,A2GLOCK42BLK,686751104114,Amend2® A2-42 GLOCK® G42-Compatible .380 ACP Mod-2 Black 6-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,SIG SAUER®-Compatible Pistol Magazines,,,,,,,,
Phase Out ,A2A320FULLBLK,685757245760,Amend2® A2-320S SIG SAUER® P320®-Compatible 9mm Luger Mod-2 Black 32-Round Stick Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Phase Out ,A2A320STICKBLK,685757245746,Amend2® A2-320F SIG SAUER® P320®-Compatible 9mm Luger Mod-2 Black 17-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Mod-3 Magazines,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,
,G17MOD3BLK17,799947620074,Amend2® A2-17 GLOCK® G17-Compatible 9mm Luger Mod-3 Black 17-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,G19MOD3BLK15,799947620081,Amend2® A2-19 GLOCK® G19-Compatible 9mm Luger Mod-3 Black 15-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Hexachlorobenzene,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistant), which is known to the State of California to cause cancer, and Hexachlorobenzene, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Mod-C Magazines,,,,,,,,
,GLOCK®-Compatible Pistol Magazines,,,,,,,,
New ,GLKMODCBLK34,850057645965,Amend2® A2-Stick GLOCK®-Compatible Double Stack 9mm Luger Mod-C Black 34-Round Stick Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,GLKMODCSMK34,850057645842,Amend2® A2-Stick GLOCK®-Compatible Double Stack 9mm Luger Mod-C Translucent Smoke 34-Round Stick Magazine,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,N/A,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Ruger® 10/22®-Compatible Magazines,,,,,,,,
,Mod-3 Magazines,,,,,,,,
,.22 LR Magazines,,,,,,,,
Pre-Order Only ,1022MOD3BLK10,749355071630,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 10-Round Rotary Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,1022MOD3BLK15,749355071647,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 15-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,1022MOD3BLK25,749355071654,Amend2® Ruger® 10/22®-Compatible .22 LR Mod-3 Black 25-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,SR-25/M110/AR-10 Magazines,,,,,,,,
,Mod-2 Magazines,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,
Discontinued ,762MOD2FDE10,680286998262,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Flat Dark Earth 10-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Phase Out ,762MOD2FDE20,680286998309,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Flat Dark Earth 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Discontinued ,762MOD2GRY10,680286998286,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Gray 10-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Phase Out ,762MOD2ODG20,680286998316,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-2 Olive Drab Green 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Mod-A Magazines,,,,,,,,
,7.62x51mm NATO/.308 Winchester Magazines,,,,,,,,
Pre-Order Only ,762MODABLK10,749355071784,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Black 10-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,762MODABLK20,749355071791,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Black 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
Pre-Order Only ,762MODACYT10,749355071807,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Coyote Brown 10-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
Pre-Order Only ,762MODACYT20,749355071814,Amend2® SR-25/M110/AR-10 7.62x51mm NATO/.308 Winchester Mod-A Coyote Brown 20-Round Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Forend/Handguard Accessories,,,,,,,,
,ARCA® Adapters,,,,,,,,
,M-LOK® to ARCA® Adapters,,,,,,,,
New ,ARCA3BLK,749355071944,"Amend2® M-LOK® to ARCA® Adapter - 3"" Black",No,N/A,N/A,No,N/A,N/A
New ,ARCA6BLK,749355071951,"Amend2® M-LOK® to ARCA® Adapter - 6"" Black",No,N/A,N/A,No,N/A,N/A
Pre-Order Only ,ARCA12BLK,749355071968,"Amend2® M-LOK® to ARCA® Adapter - 12"" Black",No,N/A,N/A,No,N/A,N/A
,,,,,,,,,
New ,ARCA3FDE,749355071975,"Amend2® M-LOK® to ARCA® Adapter - 3"" Flat Dark Earth",No,N/A,N/A,No,N/A,N/A
New ,ARCA6FDE,749355071982,"Amend2® M-LOK® to ARCA® Adapter - 6"" Flat Dark Earth",No,N/A,N/A,No,N/A,N/A
Pre-Order Only ,ARCA12FDE,749355071999,"Amend2® M-LOK® to ARCA® Adapter - 12"" Flat Dark Earth",No,N/A,N/A,No,N/A,N/A
,Foregrips,,,,,,,,
,Angled Foregrips / Handstops,,,,,,,,
New ,AGKBLK,749355071531,Amend2®/RAZR® Mohave-K™ M-LOK® Handstop Black Model,Yes,Yes,"Carbon black (airborne, unbound particles of respirable size)",No,Synthetic Homopolymer,"WARNING: This product can expose you to chemicals including Carbon black (airborne, unbound particles of respirable size), which is known to the State of California to cause cancer. For more information, go to www.P65Warnings.ca.gov"
,Vertical Foregrips,,,,,,,,
,A2VFGBLK,749355071500,Amend2® M-LOK® Vertical Foregrip Black Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,A2VFGCYT,749355071517,Amend2® M-LOK® Vertical Foregrip Coyote Brown Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Grips,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10,,,,,,,,
,Pistol Grips,,,,,,,,
,A2PGEBLK,749355071555,Amend2® Pistol Grip - Enhanced Black Model (No Grip Screw Included),Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,A2PGECYT,749355071548,Amend2® Pistol Grip - Enhanced Coyote Brown Model (No Grip Screw Included),Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,PGE2BLK,749355071579,"Amend2® Pistol Grip - Enhanced 2 Black Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,PGE2CYT,749355071562,"Amend2® Pistol Grip - Enhanced 2 Coyote Brown Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,PPGBLK,749355071593,"Amend2® Priapus Pistol Grip Black Model (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
New ,PPGCYT,749355071586,"Amend2® Priapus Pistol Grip Coyote Brown (No Beavertail, No Grip Screw Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Grip Modules,,,,,,,,
,SIG SAUER® P320® Grip Modules,,,,,,,,
Phase Out ,A2A320HYBRID,685757245678,Amend2® S300 Hybrid Grip Module designed for use with a SIG SAUER® P320® Fire Control Unit and a SIG SAUER® P365® Magazine,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Other Accessories,,,,,,,,
,Mirage Covers for Suppressors,,,,,,,,
,"1.5"" Diameter Mirage Covers",,,,,,,,
New ,SCV1BLK1545,749355072088,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 4.5"" Length",TBD,TBD,TBD,TBD,TBD,TBD
New ,SCV1BLK1560,749355072095,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 6"" Length",TBD,TBD,TBD,TBD,TBD,TBD
New ,SCV1BLK1575,749355072101,"Amend2® Hi-Temp Mirage Cover for Suppressors - V1, Black, 1.5"" Diameter, 7.5"" Length",TBD,TBD,TBD,TBD,TBD,TBD
,Trigger Guards,,,,,,,,
,AR-15/M4/M16/SR-25/M110/AR-10 Trigger Guards,,,,,,,,
New ,ARTG1BLK,749355072033,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Black (Installation Hardware Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,,,,,,,,,
New ,ARTG1CYT,749355072040,"Amend2® AR-15/M4/M16/SR-25/M110/AR-10 Polymer Trigger Guard - V1, Coyote Brown (Installation Hardware Included)",Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
,Stocks,,,,,,,,
,AR-15/M4/M15/SR-25/M110/AR-10,,,,,,,,
,Amend2® Modular Stock (AMS),,,,,,,,
,A2AMSBASEBLK,799947619696,Amend2® AMS Modular Mil-Spec Carbine Stock - Base M-LOK® Black Model,Yes,Yes,Glass wool fibers (inhalable and biopersistent),Yes,Methanol,"WARNING: This product can expose you to chemicals including Glass wool fibers (inhalable and biopersistent), which is known to the State of California to cause cancer, and Methanol, which is known to the State of California to cause birth defects or other reproductive harm. For more information, go to www.P65Warnings.ca.gov"
