,,Amend2 & Techna Clip Rough Item Lead Times,,,,,,,,,,,,,,,,,,,,,,
,,Updated Biweekly,,,,,,,,,,,,,,,,,,,,,,
,,Last updated on 07/27/2026,,,,,,,,,,,,,,,,,,,,,,
order,SKU,Brief Item Description,Status,Rough ETA / Lead Time,Estimated Ship Date,Lead Time - Low,Lead Time - High,Lead Time - Unit,Built From SKU 1,Built From SKU - 2,Built From SKU - 3,Built From SKU - 4,Built From SKU - 5,Built From SKU - 6,Built From SKU - 7,Built From SKU - 8,Customization Add-On (weeks),Max Component Low (helper),Max Component High (helper),Component Is Open-Ended? (helper),Any Component Missing Data?,"Low Date (helper, hidden)","	High Date (helper, hidden)",Ship Date Overdue?
19,556MOD2F1030,Mod-2 AR-15 5.56/.223 Flat Dark Earth 10/30 10rd Magazine - Restricted State Compliant,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
20,556MOD2FDE10,Mod-2 AR-15 5.56/.223 Flat Dark Earth 10rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
21,556MOD2FDE20,Mod-2 AR-15 5.56/.223 Flat Dark Earth 20rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
22,556MOD2FDE30,Mod-2 AR-15 5.56/.223 Flat Dark Earth 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
23,556MOD2GRY10,Mod-2 AR-15 5.56/.223 Gray 10rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
24,556MOD2GRY20,Mod-2 AR-15 5.56/.223 Gray 20rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
25,556MOD2GRY30,Mod-2 AR-15 5.56/.223 Gray 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
26,556MOD2ODG10,Mod-2 AR-15 5.56/.223 Olive Drab Green 10rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
27,556MOD2ODG20,Mod-2 AR-15 5.56/.223 Olive Drab Green 20rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
28,556MOD2ODG30,Mod-2 AR-15 5.56/.223 Olive Drab Green 30rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
29,A2ID556BLK30,Mod-2 AR-15 5.56/.223 Black 30rd Magazine - Idaho Edition,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
30,A2TX556BLK30,Mod-2 AR-15 5.56/.223 Black 30rd Magazine - Texas Edition,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
31,65GRENDBLK10,Mod-2 AR-15 6.5 Grendel/6mm ARC Black 10rd Magazine,In-Stock,Ships ASAP (up to 4 weeks),08/01/2026 - 08/29/2026,0,4,Weeks,,,,,,,,,,,,FALSE,FALSE,08/01/2026,08/29/2026,FALSE
32,458MOD3BLK10,Mod-3 AR-15 .458 SOCOM/.50 Beowulf Black 10rd Magazine,Discontinued,N/A,Cannot Be Fulfilled / Discontinued,,,,,,,,,,,,,,,FALSE,FALSE,,,FALSE
33,556MOD3BAC30,Mod-3 AR-15 5.56/.223 Black Custom UV-Printed Alpine-Cam Camo 30rd Magazine,Pre-Order Only,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
34,556MOD3BUC30,Mod-3 AR-15 5.56/.223 Black Custom UV-Printed Urban-Cam Camo 30rd Magazine,Pre-Order Only,0 - 6 weeks,08/01/2026 - 09/15/2026,0,6,Weeks,556MOD3BLK30,,,,,,,,2,08/01/2026,09/01/2026,FALSE,FALSE,08/01/2026,09/15/2026,FALSE
35,556MOD3CAC30,Mod-3 AR-15 5.56/.223 Coyote Brown Custom UV-Printed Arid-Cam Camo 30rd Magazine,Pre-Order Only,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MOD3CYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
36,556MOD3CTC30,Mod-3 AR-15 5.56/.223 Coyote Brown Custom UV-Printed Tropical-Cam Camo 30rd Magazine,Pre-Order Only,0 - 6 weeks,08/01/2026 - 09/12/2026,0,6,Weeks,556MOD3CYT30,,,,,,,,2,08/01/2026,08/29/2026,FALSE,FALSE,08/01/2026,09/12/2026,FALSE
